GLREPORT
General Ledger Transactions PAY015
(19078)PR-F SEB ADMINISTRATIVE SERVICES INC. 10/27/21 9:46 Page 1
Pay Ending: Oct 31 2021 Cheque Date: Oct 29 2021 Pay Period: 20
Date      , Acct No          ,  Description                        ,  Amount
OCT 29/21 , 0000             ,  ACCRUAL PAYABLE                    ,  14466.43, CR, -1
OCT 29/21 , 0000             ,  BANK ACCOUNT (NET PAY)             ,  164354.86, CR, -1
OCT 29/21 , 0000             ,  Health Benefit QC CR               ,  3681.15, CR, -1
OCT 29/21 , 0000             ,  ER LTD CR                          ,  512.29, CR, -1
OCT 29/21 , 0000             ,  Medical ON * memo only CR          ,  5475.92, CR, -1
OCT 29/21 , 0000             ,  TFSATXJ PAYABLE                    ,  133.33, CR, -1
OCT 29/21 , 0000             ,  TFSATXB Payable CR                 ,  83.33, CR, -1
OCT 29/21 , 0000             ,  C.P.P. PAYABLE                     ,  11268.26, CR, -1
OCT 29/21 , 0000             ,  E.H.T. PAYABLE                     ,  3050.55, CR, -1
OCT 29/21 , 0000             ,  E.I. PAYABLE                       ,  3061.05, CR, -1
OCT 29/21 , 0000             ,  Payroll Remit/Fees                 ,  75457.73, CR, -1
OCT 29/21 , 0000             ,  QPIP EMPLOYEE PAYABLE              ,  369.27, CR, -1
OCT 29/21 , 0000             ,  QPIP EMPLOYER PAYABLE              ,  517.34, CR, -1
OCT 29/21 , 0000             ,  PROV. TAX PAYABLE                  ,  11182.16, CR, -1
OCT 29/21 , 0000             ,  QUEBEC HEALTH PAYABLE              ,  3938.93, CR, -1
OCT 29/21 , 0000             ,  TAX PAYABLE                        ,  41303.93, CR, -1
OCT 29/21 , 0000             ,  VACATION ACCRUAL PAID              ,  4494.71
OCT 29/21 , 0000             ,  WSIB/CSST PAYABLE                  ,  487.88, CR, -1
OCT 29/21 , 0001             ,  ACCRUAL EXPENSE                    ,  14466.43
OCT 29/21 , 0003             ,  Life Insurance                     ,  799.15, CR, -1
OCT 29/21 , 0003             ,  AD&D                               ,  308.20, CR, -1
OCT 29/21 , 0003             ,  Critical Illness                   ,  356.35, CR, -1
OCT 29/21 , 0003             ,  Dependent Life                     ,  64.56, CR, -1
OCT 29/21 , 0003             ,  TFSA JW                            ,  830.71, CR, -1
OCT 29/21 , 0003             ,  TFSA GW                            ,  845.30, CR, -1
OCT 29/21 , 0003             ,  Opt.Critical Illness               ,  30.73, CR, -1
OCT 29/21 , 0003             ,  Opt. Life                          ,  429.57, CR, -1
OCT 29/21 , 0003             ,  LTD                                ,  839.87, CR, -1
OCT 29/21 , 0003             ,  RRSP                               ,  2015.43, CR, -1
OCT 29/21 , 0003             ,  OPT RRSP                           ,  1106.80, CR, -1
OCT 29/21 , 0003             ,  DCPP                               ,  2913.58, CR, -1
OCT 29/21 , 0003             ,  RRSPJW                             ,  2573.14, CR, -1
OCT 29/21 , 0003             ,  TFSA                               ,  943.50, CR, -1
OCT 29/21 , 1000-5410-QC     ,  INPUT YOUR EARNING DESCRI          ,  42944.18
OCT 29/21 , 1000-5420        ,  E.I. EXPENSE                       ,  264.15
OCT 29/21 , 1000-5430        ,  QC Q.P.P. EXPENSE                  ,  1151.92
OCT 29/21 , 1000-5440        ,  QC CSST EXPENSE                    ,  129.25
OCT 29/21 , 1000-5464        ,  QUEBEC HEALTH EXPENSE              ,  2014.01
OCT 29/21 , 1000-5467        ,  QPIP EMPLOYER EXPENSE              ,  235.50
OCT 29/21 , 1000-5470        ,  CORSPJW - CR                       ,  96.67, CR, -1
OCT 29/21 , 1000-5470        ,  TXBRSPGW - CR                      ,  175.00, CR, -1
OCT 29/21 , 1000-5470        ,  CO RRSP - CR                       ,  801.82, CR, -1
OCT 29/21 , 1000-5470        ,  CO DCPP - CR                       ,  506.50, CR, -1
OCT 29/21 , 1000-5470        ,  CORSPJW - DR                       ,  96.67
OCT 29/21 , 1000-5470        ,  TXBRSPGW - DR                      ,  175.00
OCT 29/21 , 1000-5470        ,  CO RRSP                            ,  801.82
OCT 29/21 , 1000-5470        ,  CO DCPP                            ,  506.50
OCT 29/21 , 1000-5470        ,  Health QC                          ,  1663.61
OCT 29/21 , 1000-5470        ,  ER LTD (memo only)                 ,  52.27
OCT 29/21 , 1100-5410-QC     ,  INPUT YOUR EARNING DESCRI          ,  27993.96
OCT 29/21 , 1100-5420        ,  E.I. EXPENSE                       ,  299.05
OCT 29/21 , 1100-5430        ,  QC Q.P.P. EXPENSE                  ,  1366.01
OCT 29/21 , 1100-5440        ,  QC CSST EXPENSE                    ,  126.33
OCT 29/21 , 1100-5464        ,  QUEBEC HEALTH EXPENSE              ,  1281.66
